trial_Num,turn,step,Fig_Pos,L_Key,R_Key,error,category,Time,All_Time,exp
2,1,40,760,L,R,1,3.XRL,0.8,14.26,indivi
2,1,40,760,-,R,1,4.XR,0.4,14.66,indivi
2,1,41,800,L,-,0,0.L,0.27,14.92,indivi
2,-1,42,840,-,R,0,5.R,0.27,15.19,indivi
,,,,,,,,,,
,,,,,,,,,,
3,-1,1,-800,-,R,0,5.R,0.77,0.77,indivi
3,1,2,-760,L,-,0,0.L,0.27,1.04,indivi
3,-1,3,-720,-,R,0,5.R,0.26,1.3,indivi
3,1,4,-680,L,-,0,0.L,0.27,1.57,indivi
3,-1,5,-640,-,R,0,5.R,0.13,1.7,indivi
3,1,5,-640,L,R,1,3.XRL,0.27,1.97,indivi
3,1,6,-600,L,-,0,0.L,0.27,2.24,indivi
3,-1,7,-560,-,R,0,5.R,0.13,2.37,indivi
3,1,8,-520,L,-,0,0.L,0.27,2.64,indivi
3,-1,9,-480,-,R,0,5.R,0.13,2.77,indivi
3,1,9,-480,L,R,1,3.XRL,0.4,3.17,indivi
3,1,9,-480,-,R,1,4.XR,0.27,3.44,indivi
3,1,10,-440,L,-,0,0.L,0.26,3.7,indivi
3,-1,11,-400,-,R,0,5.R,0.13,3.83,indivi
3,1,12,-360,L,-,0,0.L,0.27,4.11,indivi
3,-1,13,-320,-,R,0,5.R,0.13,4.24,indivi
3,1,14,-280,L,-,0,0.L,0.27,4.51,indivi
3,-1,15,-240,-,R,0,5.R,0.13,4.63,indivi
3,1,15,-240,L,R,1,3.XRL,0.27,4.9,indivi
3,1,15,-240,-,R,1,4.XR,0.27,5.17,indivi
3,1,16,-200,L,-,0,0.L,0.27,5.44,indivi
3,-1,17,-160,-,R,0,5.R,0.26,5.7,indivi
3,1,18,-120,L,-,0,0.L,0.27,5.97,indivi
3,-1,19,-80,-,R,0,5.R,0.13,6.1,indivi
3,1,20,-40,L,-,0,0.L,0.27,6.37,indivi
3,-1,21,0,-,R,0,5.R,0.13,6.5,indivi
3,1,22,40,L,-,0,0.L,0.41,6.91,indivi
3,-1,23,80,-,R,0,5.R,0.13,7.03,indivi
3,1,23,80,L,R,1,3.XRL,0.27,7.3,indivi
3,1,23,80,-,R,1,4.XR,0.41,7.71,indivi
3,1,24,120,L,-,0,0.L,0.27,7.97,indivi
3,-1,25,160,-,R,0,5.R,0.26,8.24,indivi
3,1,26,200,L,-,0,0.L,0.13,8.37,indivi
3,-1,27,240,-,R,0,5.R,0.26,8.63,indivi
3,1,27,240,L,R,1,3.XRL,0.41,9.04,indivi
3,1,27,240,-,R,1,4.XR,0.27,9.31,indivi
3,1,28,280,L,-,0,0.L,0.13,9.44,indivi
3,-1,28,280,L,R,1,2.XLR,0.26,9.7,indivi
3,-1,28,280,L,R,1,2.XLR,0.4,10.1,indivi
3,-1,29,320,-,R,0,5.R,0.27,10.37,indivi
3,1,30,360,L,-,0,0.L,0.13,10.5,indivi
3,-1,31,400,-,R,0,5.R,0.26,10.77,indivi
3,1,31,400,L,R,1,3.XRL,0.27,11.04,indivi
3,1,31,400,L,R,1,3.XRL,0.4,11.44,indivi
3,1,31,400,-,R,1,4.XR,0.39,11.84,indivi
3,1,32,440,L,-,0,0.L,0.27,12.1,indivi
3,-1,33,480,-,R,0,5.R,0.14,12.24,indivi
3,1,33,480,-,R,1,4.XR,0.27,12.51,indivi
3,1,34,520,L,-,0,0.L,0.13,12.64,indivi
3,-1,35,560,-,R,0,5.R,0.26,12.9,indivi
3,1,36,600,L,-,0,0.L,0.14,13.04,indivi
3,-1,37,640,-,R,0,5.R,0.13,13.16,indivi
3,1,37,640,L,R,1,3.XRL,0.41,13.57,indivi
3,1,37,640,L,R,1,3.XRL,0.27,13.84,indivi
3,1,37,640,L,R,1,3.XRL,0.28,14.13,indivi
3,1,37,640,L,R,1,3.XRL,0.39,14.52,indivi
3,1,37,640,L,R,1,3.XRL,0.27,14.79,indivi
3,1,37,640,-,R,1,4.XR,0.26,15.05,indivi
3,1,38,680,L,-,0,0.L,0.27,15.32,indivi
3,-1,39,720,-,R,0,5.R,0.26,15.58,indivi
3,1,40,760,L,-,0,0.L,0.27,15.85,indivi
3,-1,41,800,-,R,0,5.R,0.13,15.99,indivi
3,1,41,800,-,R,1,4.XR,0.4,16.39,indivi
3,1,41,800,-,R,1,4.XR,0.8,17.19,indivi
3,1,42,840,L,-,0,0.L,0.14,17.32,indivi
,,,,,,,,,,
