trial_Num,turn,step,L_Key,R_Key,error,category,Time,All_Time,exp,
1,1,1,L,-,0,0.L,4.18,4.18,prac
1,-1,2,-,R,0,5.R,1.07,5.25,prac
1,1,3,L,-,0,0.L,0.75,6.00,prac
1,-1,4,-,R,0,5.R,0.57,6.56,prac
1,1,4,-,R,1,4.XR,0.48,7.05,prac
1,1,5,L,-,0,0.L,0.13,7.18,prac
1,-1,6,-,R,0,5.R,0.32,7.50,prac
1,1,6,-,R,1,4.XR,0.30,7.80,prac
1,1,7,L,-,0,0.L,2.13,9.93,prac
1,-1,8,-,R,0,5.R,2.73,12.66,prac
1,1,8,-,R,1,4.XR,0.63,13.30,prac
1,1,8,-,R,1,4.XR,0.68,13.98,prac
1,1,9,L,-,0,0.L,2.68,16.66,prac
1,-1,10,-,R,0,5.R,1.87,18.53,prac
1,1,11,L,-,0,0.L,1.13,19.66,prac
1,-1,12,-,R,0,5.R,3.80,23.46,prac
1,1,13,L,-,0,0.L,1.12,24.58,prac
1,-1,14,-,R,0,5.R,1.63,26.21,prac
1,1,15,L,-,0,0.L,1.43,27.64,prac
1,-1,16,-,R,0,5.R,1.50,29.14,prac
1,1,17,L,-,0,0.L,1.80,30.94,prac
1,-1,18,-,R,0,5.R,1.63,32.58,prac
1,1,19,L,-,0,0.L,1.68,34.26,prac
1,-1,20,-,R,0,5.R,1.25,35.51,prac
1,1,21,L,-,0,0.L,1.50,37.01,prac
1,-1,22,-,R,0,5.R,1.30,38.31,prac
1,1,23,L,-,0,0.L,1.50,39.81,prac
1,-1,24,-,R,0,5.R,1.18,40.99,prac
1,1,25,L,-,0,0.L,0.88,41.88,prac
1,-1,26,-,R,0,5.R,1.00,42.88,prac
1,1,26,-,R,1,4.XR,0.87,43.74,prac
1,1,27,L,-,0,0.L,0.12,43.86,prac
1,-1,28,-,R,0,5.R,0.45,44.31,prac
1,1,28,-,R,1,4.XR,0.43,44.74,prac
1,1,29,L,-,0,0.L,2.50,47.24,prac
1,-1,30,-,R,0,5.R,2.87,50.11,prac
1,1,31,L,-,0,0.L,1.18,51.29,prac
1,-1,32,-,R,0,5.R,3.05,54.34,prac
1,1,33,L,-,0,0.L,1.43,55.78,prac
1,-1,34,-,R,0,5.R,0.38,56.16,prac
1,1,35,L,-,0,0.L,0.93,57.09,prac
1,-1,36,-,R,0,5.R,1.93,59.03,prac
1,1,37,L,-,0,0.L,1.07,60.09,prac
1,-1,38,-,R,0,5.R,0.68,60.78,prac
1,1,39,L,-,0,0.L,1.00,61.78,prac
1,-1,40,-,R,0,5.R,0.50,62.28,prac
1,1,40,-,R,1,4.XR,0.43,62.71,prac
1,1,41,L,-,0,0.L,0.07,62.78,prac
1,-1,42,-,R,0,5.R,0.62,63.39,prac


