videos,frameN,pos_x,pos_y,width,height,
test.mov,1,456,227,54,54
test.mov,1,208,113,118,118
test.mov,2,206,113,118,118
test.mov,3,206,112,119,119
test.mov,4,207,114,117,117
test.mov,5,208,114,115,115
test.mov,6,209,115,113,113
test.mov,7,207,113,118,118
test.mov,8,206,112,119,119
test.mov,9,457,227,54,54
test.mov,9,204,111,121,121
test.mov,10,457,227,53,53
test.mov,10,207,114,116,116
test.mov,11,458,228,52,52
test.mov,11,208,114,116,116
test.mov,12,205,111,120,120
test.mov,13,457,227,53,53
test.mov,13,203,110,123,123
test.mov,14,457,227,53,53
test.mov,14,206,112,119,119
test.mov,15,205,112,120,120
test.mov,16,457,227,53,53
test.mov,16,206,113,118,118
test.mov,17,457,227,53,53
test.mov,17,207,114,117,117
test.mov,18,205,111,119,119
test.mov,19,458,228,53,53
test.mov,19,204,112,120,120
test.mov,20,205,111,121,121
test.mov,21,204,112,120,120
test.mov,22,456,227,54,54
test.mov,22,205,112,120,120
test.mov,23,206,114,116,116
test.mov,24,206,114,117,117
test.mov,25,204,112,120,120
test.mov,26,205,113,120,120
test.mov,27,457,227,54,54
test.mov,27,206,115,117,117
test.mov,28,206,113,118,118
test.mov,29,457,228,54,54
test.mov,29,206,114,117,117
test.mov,30,456,227,53,53
test.mov,30,207,113,117,117
test.mov,31,456,227,54,54
test.mov,31,207,114,116,116
test.mov,32,457,228,53,53
test.mov,32,205,112,121,121
test.mov,33,457,228,53,53
test.mov,33,204,112,121,121
test.mov,34,457,227,53,53
test.mov,34,207,113,117,117
test.mov,35,458,228,52,52
test.mov,35,206,113,118,118
test.mov,36,458,228,52,52
test.mov,36,208,114,116,116
test.mov,37,457,227,53,53
test.mov,37,206,113,119,119
test.mov,38,205,112,119,119
test.mov,39,458,228,52,52
test.mov,39,204,112,121,121
test.mov,40,204,112,119,119
test.mov,41,207,116,114,114
test.mov,42,206,113,117,117
test.mov,43,206,112,117,117
test.mov,44,206,112,119,119
test.mov,45,205,112,119,119
test.mov,46,205,113,119,119
test.mov,47,206,114,115,115
test.mov,48,207,116,115,115
test.mov,49,457,227,54,54
test.mov,49,206,117,114,114
test.mov,50,457,227,54,54
test.mov,50,207,114,115,115
test.mov,51,206,113,117,117
test.mov,52,207,113,117,117
test.mov,53,457,227,53,53
test.mov,53,204,114,119,119
test.mov,54,457,227,53,53
test.mov,54,205,112,118,118
test.mov,55,457,227,53,53
test.mov,55,205,112,118,118
test.mov,56,207,115,115,115
test.mov,57,208,111,116,116
test.mov,58,207,114,115,115
test.mov,59,457,227,53,53
test.mov,59,208,115,113,113
test.mov,60,457,227,53,53
test.mov,60,210,115,113,113
test.mov,61,207,113,118,118
test.mov,62,209,115,115,115
test.mov,63,207,114,117,117
test.mov,64,206,113,121,121
test.mov,65,205,112,120,120
test.mov,66,207,112,118,118
test.mov,67,207,113,117,117
test.mov,68,207,112,117,117
test.mov,69,208,115,115,115
test.mov,70,457,227,53,53
test.mov,70,208,112,116,116
test.mov,71,457,227,53,53
test.mov,71,207,114,120,120
test.mov,72,457,227,53,53
test.mov,72,205,110,122,122
test.mov,73,457,227,53,53
test.mov,73,208,111,120,120
test.mov,74,458,229,51,51
test.mov,74,208,109,127,127
test.mov,75,458,229,52,52
test.mov,75,213,110,121,121
test.mov,76,458,228,52,52
test.mov,76,218,111,117,117
test.mov,77,458,228,53,53
test.mov,77,221,112,119,119
test.mov,78,457,227,54,54
test.mov,78,234,118,104,104
test.mov,79,235,116,107,107
test.mov,84,456,227,54,54
test.mov,85,454,224,58,58
test.mov,87,457,227,54,54
test.mov,88,456,227,54,54
test.mov,89,458,228,53,53
test.mov,90,457,227,54,54
test.mov,91,458,228,52,52
test.mov,92,457,227,54,54
test.mov,93,457,227,54,54
test.mov,100,456,227,54,54
test.mov,103,458,228,52,52
test.mov,106,457,227,54,54
test.mov,107,457,227,53,53
test.mov,117,457,227,54,54
